"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2024","656.70","656.70","591.10","591.10","17.97K","0.00%"
"05/08/2024","656.70","656.70","591.10","591.10","8.01K","0.00%"
"05/07/2024","656.70","656.70","591.10","591.10","4.46K","0.00%"
"05/06/2024","656.70","656.70","591.10","591.10","2.36K","0.00%"
"05/03/2024","656.70","656.70","591.10","591.10","17.65K","0.00%"
"05/02/2024","656.70","656.70","591.10","591.10","8.95K","0.00%"
"04/30/2024","656.70","656.70","591.10","591.10","3.41K","0.00%"
"04/29/2024","656.70","656.70","591.10","591.10","10.66K","0.00%"
"04/26/2024","656.70","656.70","591.10","591.10","10.59K","0.00%"
"04/25/2024","656.70","656.70","595.00","591.10","3.79K","0.00%"
"04/24/2024","656.70","656.70","591.10","591.10","11.35K","0.00%"
"04/23/2024","656.70","656.70","591.10","591.10","1.02K","0.00%"
"04/22/2024","656.70","656.70","591.10","591.10","9.69K","0.00%"
"04/19/2024","656.70","656.70","591.10","591.10","3.06K","0.00%"
"04/18/2024","656.70","656.70","591.10","591.10","3.00K","0.00%"
"04/17/2024","656.70","656.70","591.10","591.10","1.92K","0.00%"
"04/16/2024","656.70","656.70","591.10","591.10","13.08K","-4.37%"
"04/15/2024","686.70","686.70","618.10","618.10","925.62K","0.00%"
"04/12/2024","686.70","686.70","618.10","618.10","82.14K","0.00%"
"04/08/2024","686.70","686.70","618.10","618.10","4.24K","0.00%"
"04/05/2024","686.70","686.70","618.10","618.10","11.57K","0.00%"
"04/04/2024","686.70","686.70","618.10","618.10","55.71K","0.00%"
"04/03/2024","686.70","686.70","618.10","618.10","58.48K","0.00%"
"04/02/2024","686.70","686.70","618.10","618.10","21.82K","0.00%"
"03/28/2024","686.70","686.70","620.00","618.10","4.93K","0.00%"
"03/27/2024","686.70","686.70","686.70","686.70","6.60K","0.00%"
"03/26/2024","686.70","686.70","686.70","686.70","5.44K","0.00%"
"03/25/2024","686.70","686.70","686.70","686.70","53.65K","0.00%"
"03/22/2024","686.70","686.70","686.70","686.70","6.16K","0.00%"
"03/21/2024","686.70","686.70","686.70","686.70","3.91K","0.00%"
"03/20/2024","686.70","686.70","686.70","686.70","0.68K","0.00%"
"03/19/2024","686.70","686.70","686.70","686.70","3.54K","0.00%"
"03/18/2024","686.70","686.70","686.70","686.70","36.42K","0.00%"
"03/15/2024","686.70","686.70","686.70","686.70","17.32K","0.00%"
"03/14/2024","686.70","686.70","686.70","686.70","4.21K","0.00%"
"03/13/2024","686.70","686.70","686.70","686.70","54.27K","0.00%"
"03/12/2024","686.70","686.70","686.70","686.70","7.11K","0.00%"
"03/11/2024","686.70","686.70","686.70","686.70","140.62K","0.00%"
"03/08/2024","686.70","686.70","686.70","686.70","187.92K","0.00%"
"03/07/2024","686.70","686.70","686.70","686.70","6.85M","0.00%"
"03/06/2024","686.70","686.70","686.70","686.70","86.41K","0.00%"
"03/05/2024","686.70","686.70","686.70","686.70","226.11K","0.00%"
"03/04/2024","686.70","686.70","686.70","686.70","33.44K","0.00%"
"03/01/2024","686.70","686.70","686.70","686.70","30.99K","0.00%"
"02/29/2024","686.70","686.70","686.70","686.70","18.05K","0.00%"
"02/28/2024","686.70","686.70","686.70","686.70","13.69K","0.00%"
"02/27/2024","686.70","686.70","686.70","686.70","2.54K","0.00%"
"02/26/2024","686.70","686.70","686.70","686.70","172.91K","0.00%"
"02/23/2024","686.70","686.70","686.70","686.70","18.71K","0.00%"
"02/22/2024","686.70","686.70","686.70","686.70","3.03K","0.00%"
"02/21/2024","686.70","686.70","686.70","686.70","130.04K","0.00%"
"02/20/2024","686.70","686.70","686.70","686.70","136.19K","0.00%"
"02/19/2024","686.70","763.00","686.70","686.70","223.99K","-10.00%"
"02/16/2024","763.00","763.00","763.00","763.00","122.08K","0.00%"
"02/15/2024","763.00","763.00","763.00","763.00","14.14K","0.00%"
"02/14/2024","763.00","763.00","763.00","763.00","20.30K","0.00%"
"02/13/2024","763.00","763.00","763.00","763.00","113.10K","0.00%"
"02/12/2024","763.00","763.00","763.00","763.00","34.94K","0.00%"
"02/09/2024","763.00","763.00","763.00","763.00","103.87K","0.00%"
"02/08/2024","763.00","763.00","763.00","763.00","24.91K","0.00%"
"02/07/2024","763.00","763.00","763.00","763.00","6.25K","0.00%"
"02/06/2024","763.00","763.00","763.00","763.00","39.52K","0.00%"
"02/05/2024","763.00","763.00","763.00","763.00","210.00K","0.00%"
"02/02/2024","763.00","763.00","763.00","763.00","34.71K","0.00%"
"02/01/2024","763.00","763.00","763.00","763.00","87.09K","0.00%"
"01/31/2024","763.00","763.00","763.00","763.00","169.82K","0.00%"
"01/30/2024","763.00","763.00","763.00","763.00","493.29K","0.00%"
"01/29/2024","763.00","694.10","763.00","624.70","13.04M","9.93%"
"01/26/2024","694.10","694.10","694.10","694.10","218.29K","0.00%"
"01/25/2024","694.10","694.10","694.10","694.10","196.77K","0.00%"
"01/24/2024","694.10","651.80","694.10","694.10","1.05M","6.49%"
"01/23/2024","651.80","592.60","651.80","600.00","5.07M","9.99%"
"01/22/2024","592.60","592.60","592.60","592.60","2.02M","9.99%"
"01/19/2024","538.80","489.90","538.80","538.80","1.29M","9.98%"
"01/18/2024","489.90","452.50","489.90","489.90","1.46M","8.27%"
"01/17/2024","452.50","411.90","452.50","452.50","1.22M","9.86%"
"01/16/2024","411.90","375.00","411.90","400.00","1.67M","9.84%"
"01/15/2024","375.00","350.00","375.00","375.00","318.54K","7.14%"
"01/12/2024","350.00","350.00","350.00","350.00","272.69K","0.00%"
"01/11/2024","350.00","350.00","350.00","350.00","1.89M","0.00%"
"01/10/2024","350.00","337.10","350.00","350.00","1.42M","3.83%"
"01/09/2024","337.10","325.00","337.10","337.10","888.61K","3.72%"
"01/08/2024","325.00","325.00","325.00","325.00","101.05K","0.00%"
"01/05/2024","325.00","319.90","325.00","325.00","1.04M","1.59%"
"01/04/2024","319.90","319.90","319.90","319.90","71.54K","0.00%"
"01/03/2024","319.90","319.90","319.90","319.90","599.98K","0.00%"
"01/02/2024","319.90","319.90","319.90","319.90","16.74K","0.00%"
"12/29/2023","319.90","319.90","319.90","319.90","313.36K","0.00%"
"12/28/2023","319.90","313.00","319.90","319.90","555.31K","2.20%"
"12/27/2023","313.00","320.00","313.00","313.00","577.50K","-2.19%"
"12/22/2023","320.00","320.00","320.00","320.00","1.50M","0.00%"
"12/21/2023","320.00","320.00","320.00","320.00","375.30K","0.00%"
"12/20/2023","320.00","320.00","320.00","320.00","619.81K","0.00%"
"12/19/2023","320.00","320.00","320.00","320.00","568.24K","0.00%"
"12/18/2023","320.00","320.00","320.00","320.00","198.56K","0.00%"
"12/15/2023","320.00","320.00","320.00","320.00","141.77K","0.00%"
"12/14/2023","320.00","320.00","320.00","320.00","60.77K","0.00%"
"12/13/2023","320.00","320.00","320.00","320.00","152.94K","0.00%"
"12/12/2023","320.00","320.00","320.00","320.00","89.23K","0.00%"
"12/11/2023","320.00","320.00","320.00","320.00","182.91K","0.00%"
"12/08/2023","320.00","320.00","320.00","320.00","48.14K","0.00%"
"12/07/2023","320.00","320.00","320.00","320.00","31.20K","0.00%"
"12/06/2023","320.00","320.00","320.00","320.00","220.79K","0.00%"
"12/05/2023","320.00","320.00","320.00","320.00","40.63K","0.00%"
"12/04/2023","320.00","320.00","320.00","320.00","43.35K","0.00%"
"12/01/2023","320.00","320.00","320.00","320.00","16.53M","0.00%"
"11/30/2023","320.00","320.00","320.00","320.00","216.64K","0.00%"
"11/29/2023","320.00","320.00","320.00","320.00","242.34K","0.00%"
"11/28/2023","320.00","328.00","320.00","320.00","216.76K","-2.44%"
"11/27/2023","328.00","328.00","328.00","328.00","72.01K","0.00%"
"11/24/2023","328.00","328.00","328.00","328.00","10.45K","0.00%"
"11/23/2023","328.00","328.00","328.00","328.00","17.10K","0.00%"
"11/22/2023","328.00","328.00","328.00","328.00","90.31K","0.00%"
"11/21/2023","328.00","328.00","328.00","328.00","38.90K","0.00%"
"11/20/2023","328.00","328.00","328.00","328.00","99.94K","0.00%"
"11/17/2023","328.00","328.00","328.00","328.00","99.46K","0.00%"
"11/16/2023","328.00","328.00","328.00","328.00","57.12K","0.00%"
"11/15/2023","328.00","328.00","328.00","328.00","79.16K","0.00%"
"11/14/2023","328.00","328.00","328.00","328.00","255.47K","0.00%"
"11/13/2023","328.00","328.00","328.00","328.00","137.69K","0.00%"
"11/10/2023","328.00","328.00","328.00","328.00","81.75K","0.00%"
"11/09/2023","328.00","328.00","328.00","328.00","92.25K","0.00%"
"11/08/2023","328.00","328.00","328.00","328.00","59.31K","0.00%"
"11/07/2023","328.00","328.00","328.00","328.00","138.60K","0.00%"
"11/06/2023","328.00","328.00","328.00","328.00","85.06K","0.00%"
"11/03/2023","328.00","328.00","328.00","328.00","228.84K","0.00%"
"11/02/2023","328.00","328.00","328.00","328.00","328.91K","0.00%"
"11/01/2023","328.00","328.00","328.00","328.00","329.50K","0.00%"
"10/31/2023","328.00","328.00","328.00","328.00","409.09K","0.00%"
"10/30/2023","328.00","310.10","328.00","328.00","214.17K","5.77%"
"10/27/2023","310.10","310.10","310.10","310.10","148.80K","0.00%"
"10/26/2023","310.10","310.10","310.10","310.10","246.66K","0.00%"
"10/25/2023","310.10","310.10","310.10","310.10","276.37K","0.00%"
"10/24/2023","310.10","310.10","310.10","310.10","568.12K","0.00%"
"10/23/2023","310.10","310.10","310.10","310.10","44.77K","0.00%"
"10/20/2023","310.10","310.10","310.10","310.10","15.75K","0.00%"
"10/19/2023","310.10","310.10","310.10","310.10","155.87K","0.00%"
"10/18/2023","310.10","310.10","310.10","310.10","117.82K","0.00%"
"10/17/2023","310.10","310.10","310.10","310.10","168.19K","0.00%"
"10/16/2023","310.10","310.10","310.10","310.10","1.07M","0.00%"
"10/13/2023","310.10","310.10","310.10","310.10","170.62K","0.00%"
"10/12/2023","310.10","310.10","310.10","310.10","331.36K","0.00%"
"10/11/2023","310.10","310.10","310.10","310.10","159.29K","0.00%"
"10/10/2023","310.10","310.10","310.10","310.10","196.70K","0.00%"
"10/09/2023","310.10","310.10","310.10","310.10","78.52K","0.00%"
"10/06/2023","310.10","340.00","310.10","310.10","907.81K","-8.79%"
"10/05/2023","340.00","340.00","340.00","340.00","299.31K","0.00%"
"10/04/2023","340.00","340.00","340.00","340.00","316.14K","0.00%"
"10/03/2023","340.00","340.00","340.00","340.00","81.96K","0.00%"
"09/29/2023","340.00","334.00","340.00","340.00","633.75K","1.80%"
"09/28/2023","334.00","334.00","334.00","334.00","134.65K","0.00%"
"09/26/2023","334.00","334.00","334.00","334.00","9.27K","0.00%"
"09/25/2023","334.00","334.00","334.00","334.00","138.39K","0.00%"
"09/22/2023","334.00","365.00","335.00","334.00","680.28K","-8.49%"
"09/21/2023","365.00","365.00","365.00","365.00","535.41K","0.00%"
"09/20/2023","365.00","365.00","365.00","365.00","32.29K","0.00%"
"09/19/2023","365.00","365.00","365.00","365.00","931.96K","0.00%"
"09/18/2023","365.00","365.00","365.00","365.00","92.36K","0.00%"
"09/15/2023","365.00","365.00","365.00","365.00","1.38M","0.00%"
"09/14/2023","365.00","365.00","365.00","365.00","1.06M","0.00%"
"09/13/2023","365.00","365.00","365.00","365.00","57.41K","0.00%"
"09/12/2023","365.00","365.00","365.00","365.00","337.73K","0.00%"
"09/11/2023","365.00","365.00","365.00","365.00","137.47K","0.00%"
"09/08/2023","365.00","365.00","365.00","365.00","49.65K","0.00%"
"09/07/2023","365.00","370.00","365.00","365.00","816.82K","-1.35%"
"09/06/2023","370.00","369.80","370.00","350.00","1.99M","0.05%"
"09/05/2023","369.80","369.80","369.80","369.80","574.74K","0.00%"
"09/04/2023","369.80","369.80","369.80","369.80","165.51K","0.00%"
"09/01/2023","369.80","360.00","380.00","324.00","4.40M","2.72%"
"08/31/2023","360.00","360.00","360.00","360.00","19.69K","0.00%"
"08/30/2023","360.00","360.00","360.00","360.00","3.43K","0.00%"
"08/29/2023","360.00","360.00","360.00","360.00","15.20K","0.00%"
"08/28/2023","360.00","360.00","360.00","360.00","221.23K","0.00%"
"08/25/2023","360.00","360.00","360.00","360.00","64.20K","0.00%"
"08/24/2023","360.00","360.00","360.00","360.00","96.93K","0.00%"
"08/23/2023","360.00","360.00","360.00","360.00","62.60K","0.00%"
"08/22/2023","360.00","360.00","360.00","360.00","51.61K","0.00%"
"08/21/2023","360.00","360.00","360.00","360.00","10.82K","0.00%"
"08/18/2023","360.00","349.90","360.00","360.00","2.59M","2.89%"
"08/17/2023","349.90","349.90","349.90","349.90","238.01K","0.00%"
"08/16/2023","349.90","349.90","349.90","349.90","848.12K","0.00%"
"08/15/2023","349.90","349.90","349.90","349.90","185.98K","0.00%"
"08/14/2023","349.90","349.90","349.90","349.90","15.72K","0.00%"
"08/11/2023","349.90","349.90","349.90","349.90","35.64K","0.00%"
"08/10/2023","349.90","320.00","349.90","349.90","565.97K","9.34%"
"08/09/2023","320.00","352.00","320.00","320.00","174.23K","-9.09%"
"08/08/2023","352.00","352.00","352.00","352.00","848.65K","0.00%"
"08/07/2023","352.00","352.00","352.00","352.00","282.94K","0.00%"
"08/04/2023","352.00","352.00","352.00","352.00","121.15K","0.00%"
"08/03/2023","352.00","352.00","352.00","352.00","335.08K","0.00%"
"08/02/2023","352.00","352.00","352.00","352.00","443.93K","0.00%"
"08/01/2023","352.00","352.00","352.00","352.00","353.47K","0.00%"
"07/31/2023","352.00","352.00","352.00","352.00","28.66K","0.00%"
"07/28/2023","352.00","352.00","352.00","352.00","91.78K","0.00%"
"07/27/2023","352.00","352.00","352.00","352.00","427.49K","0.00%"
"07/26/2023","352.00","352.00","352.00","352.00","102.38K","0.00%"
"07/25/2023","352.00","352.00","352.00","352.00","433.06K","0.00%"
"07/24/2023","352.00","352.00","352.00","352.00","221.97K","0.00%"
"07/21/2023","352.00","352.00","352.00","352.00","64.42K","0.00%"
"07/20/2023","352.00","352.00","352.00","352.00","156.73K","0.00%"
"07/19/2023","352.00","352.00","352.00","352.00","105.02K","0.00%"
"07/18/2023","352.00","330.00","352.00","330.00","104.88M","6.67%"
"07/17/2023","330.00","335.00","340.00","329.50","22.33M","-1.49%"
"07/14/2023","335.00","326.00","335.00","330.00","1.21M","2.76%"
"07/13/2023","326.00","326.00","326.00","326.00","956.86K","0.00%"
"07/12/2023","326.00","360.70","326.00","326.00","2.31M","-9.62%"
"07/11/2023","360.70","330.10","360.70","360.70","1.56M","9.27%"
"07/10/2023","330.10","330.10","330.10","330.10","5.11M","10.00%"
"07/07/2023","300.10","290.00","300.10","290.00","3.09M","3.48%"
"07/06/2023","290.00","285.00","290.00","290.00","1.01M","1.75%"
"07/05/2023","285.00","285.00","285.00","285.00","826.51K","0.00%"
"07/04/2023","285.00","285.00","285.00","285.00","2.27M","0.00%"
"07/03/2023","285.00","285.00","285.00","285.00","430.64K","0.00%"
"06/30/2023","285.00","287.50","285.00","285.00","603.67K","-0.87%"
"06/27/2023","287.50","287.50","287.50","287.50","502.88K","0.00%"
"06/26/2023","287.50","287.50","287.50","287.50","232.86K","0.00%"
"06/23/2023","287.50","287.50","287.50","287.50","233.07K","0.00%"
"06/22/2023","287.50","287.50","287.50","287.50","205.71K","0.00%"
"06/21/2023","287.50","287.30","287.50","287.50","1.67M","0.07%"
"06/20/2023","287.30","286.90","287.30","287.30","2.26M","0.14%"
"06/19/2023","286.90","284.00","286.90","283.90","4.01M","1.02%"
"06/16/2023","284.00","284.00","284.00","284.00","256.59K","0.00%"
"06/15/2023","284.00","284.00","284.00","284.00","639.67K","0.00%"
"06/14/2023","284.00","286.80","284.00","284.00","2.24M","-0.98%"
"06/13/2023","286.80","283.00","286.80","286.80","1.04M","1.34%"
"06/09/2023","283.00","286.00","283.00","283.00","1.41M","-1.05%"
"06/08/2023","286.00","290.00","286.00","272.90","735.60K","-1.38%"
"06/07/2023","290.00","290.00","290.00","290.00","515.98K","0.00%"
"06/06/2023","290.00","290.00","290.00","290.00","301.21K","0.00%"
"06/05/2023","290.00","290.00","290.00","290.00","150.51K","0.00%"
"06/02/2023","290.00","290.00","290.00","290.00","476.49K","0.00%"
"06/01/2023","290.00","290.00","290.00","290.00","772.37K","0.00%"
"05/31/2023","290.00","290.00","290.00","290.00","346.51K","0.00%"
"05/30/2023","290.00","270.00","290.00","270.00","2.77M","7.41%"
"05/26/2023","270.00","270.00","270.00","270.00","260.01K","0.00%"
"05/25/2023","270.00","270.00","270.00","270.00","386.11K","0.00%"
"05/24/2023","270.00","270.00","270.00","270.00","81.35K","0.00%"
"05/23/2023","270.00","270.00","270.00","270.00","710.46K","0.00%"
"05/22/2023","270.00","270.00","270.00","270.00","89.24K","0.00%"
"05/19/2023","270.00","270.00","270.00","270.00","63.92K","0.00%"
"05/18/2023","270.00","270.00","270.00","270.00","21.56K","0.00%"
"05/17/2023","270.00","270.00","270.00","270.00","212.98K","0.00%"
"05/16/2023","270.00","270.00","270.00","270.00","114.44K","0.00%"
"05/15/2023","270.00","270.00","270.00","270.00","51.78K","0.00%"
"05/12/2023","270.00","270.00","270.00","270.00","166.26K","0.00%"
"05/11/2023","270.00","270.00","270.00","270.00","96.73K","0.00%"
"05/10/2023","270.00","270.00","270.00","270.00","120.21K","0.00%"
"05/09/2023","270.00","270.00","270.00","270.00","771.63K","0.00%"
"05/08/2023","270.00","270.00","270.00","270.00","286.01K","0.00%"
"05/05/2023","270.00","270.00","270.00","270.00","52.59K","0.00%"
"05/04/2023","270.00","270.00","270.00","270.00","62.93K","0.00%"
"05/03/2023","270.00","270.00","270.00","270.00","559.21K","0.00%"
"05/02/2023","270.00","270.00","270.00","270.00","1.02M","0.00%"
"04/28/2023","270.00","270.00","270.00","270.00","1.30M","0.00%"
"04/27/2023","270.00","270.00","270.00","270.00","411.02K","0.00%"
"04/26/2023","270.00","270.00","270.00","270.00","441.56K","0.00%"
"04/25/2023","270.00","270.00","270.00","270.00","174.87K","0.00%"
"04/20/2023","270.00","270.00","270.00","260.00","730.02K","0.00%"
"04/19/2023","270.00","270.00","270.00","270.00","34.94K","0.00%"
"04/18/2023","270.00","270.00","270.00","270.00","35.85K","0.00%"
"04/17/2023","270.00","270.00","270.00","270.00","62.69K","0.00%"
"04/14/2023","270.00","270.00","270.00","270.00","84.52K","0.00%"
"04/13/2023","270.00","270.00","270.00","270.00","92.81K","0.00%"
"04/12/2023","270.00","270.00","270.00","270.00","235.24K","0.00%"
"04/11/2023","270.00","270.00","270.00","270.00","89.76K","0.00%"
"04/06/2023","270.00","270.00","270.00","270.00","138.85K","0.00%"
"04/05/2023","270.00","270.00","270.00","270.00","79.20K","0.00%"
"04/04/2023","270.00","270.00","270.00","270.00","1.03M","0.00%"
"04/03/2023","270.00","270.00","270.00","270.00","69.40K","0.00%"
"03/31/2023","270.00","270.00","270.00","270.00","103.17K","-6.90%"
"03/30/2023","290.00","290.00","290.00","290.00","93.35K","0.00%"
"03/29/2023","290.00","276.00","290.00","290.00","213.73K","5.07%"
"03/28/2023","276.00","288.00","276.00","276.00","488.09K","-4.17%"
"03/27/2023","288.00","288.00","288.00","288.00","52.86K","0.00%"
"03/24/2023","288.00","288.00","288.00","288.00","178.64K","0.00%"
"03/23/2023","288.00","288.00","288.00","288.00","203.86K","0.00%"
"03/22/2023","288.00","288.00","288.00","288.00","10.26K","0.00%"
"03/21/2023","288.00","288.00","288.00","288.00","70.30K","0.00%"
"03/20/2023","288.00","288.00","288.00","288.00","628.21K","0.00%"
"03/17/2023","288.00","288.00","288.00","288.00","22.60K","0.00%"
"03/16/2023","288.00","288.00","288.00","288.00","25.10K","0.00%"
"03/15/2023","288.00","288.00","288.00","288.00","542.14K","0.00%"
"03/14/2023","288.00","288.00","288.00","288.00","373.43K","0.00%"
"03/13/2023","288.00","288.00","288.00","288.00","82.89K","0.00%"
"03/10/2023","288.00","288.00","288.00","288.00","112.77K","0.00%"
"03/09/2023","288.00","285.00","288.00","288.00","666.03K","1.05%"
"03/08/2023","285.00","280.00","285.00","285.00","7.32M","1.79%"
"03/07/2023","280.00","278.00","280.00","280.00","1.21M","0.72%"
"03/06/2023","278.00","278.00","278.00","278.00","383.38K","0.00%"
"03/03/2023","278.00","278.00","278.00","278.00","184.48K","0.00%"
"03/02/2023","278.00","278.00","278.00","278.00","187.21K","0.00%"
"03/01/2023","278.00","278.00","278.00","278.00","553.54K","0.00%"
"02/28/2023","278.00","272.00","278.00","272.10","5.72M","2.21%"
"02/27/2023","272.00","272.00","272.00","272.00","422.57K","0.00%"
"02/24/2023","272.00","270.00","272.00","272.00","251.78K","0.74%"
"02/23/2023","270.00","270.00","270.00","270.00","638.54K","0.00%"
"02/22/2023","270.00","270.00","270.00","270.00","39.34K","0.00%"
"02/21/2023","270.00","270.00","270.00","270.00","285.51K","0.00%"
"02/20/2023","270.00","270.00","270.00","270.00","15.23K","0.00%"
"02/17/2023","270.00","270.00","270.00","270.00","1.02M","0.00%"
"02/16/2023","270.00","270.00","270.00","270.00","7.21M","0.00%"
"02/15/2023","270.00","270.00","270.00","270.00","47.67K","0.00%"
"02/14/2023","270.00","270.00","270.00","270.00","24.26K","0.00%"
"02/13/2023","270.00","270.00","270.00","270.00","3.01M","0.00%"
"02/10/2023","270.00","270.00","270.00","270.00","2.70K","0.00%"
"02/09/2023","270.00","270.00","270.00","270.00","166.42K","0.00%"
"02/08/2023","270.00","265.00","270.00","270.00","203.39K","1.89%"
"02/07/2023","265.00","266.90","265.00","265.00","1.17M","-0.71%"
"02/06/2023","266.90","266.90","266.90","266.90","41.46K","0.00%"
"02/03/2023","266.90","266.90","266.90","266.90","18.73K","0.00%"
"02/02/2023","266.90","266.90","266.90","266.90","21.85K","0.00%"
"02/01/2023","266.90","266.90","266.90","266.90","78.77K","0.00%"
"01/31/2023","266.90","266.90","266.90","266.90","196.45K","0.00%"
"01/30/2023","266.90","266.90","266.90","266.90","105.38K","0.00%"
"01/27/2023","266.90","266.90","266.90","266.90","90.33K","0.00%"
"01/26/2023","266.90","266.90","266.90","266.90","25.91K","0.00%"
"01/25/2023","266.90","266.90","266.90","266.90","94.63K","0.00%"
"01/24/2023","266.90","265.00","266.90","266.90","291.10K","0.72%"
"01/23/2023","265.00","265.00","265.00","265.00","84.85K","0.00%"
"01/20/2023","265.00","265.00","265.00","265.00","33.22K","0.00%"
"01/19/2023","265.00","265.00","265.00","265.00","50.70K","0.00%"
"01/18/2023","265.00","270.00","265.00","265.00","2.11M","-1.85%"
"01/17/2023","270.00","270.00","270.00","270.00","131.88K","0.00%"
"01/16/2023","270.00","270.00","270.00","270.00","423.27K","0.00%"
"01/13/2023","270.00","270.00","270.00","270.00","263.01K","0.00%"
"01/12/2023","270.00","270.00","270.00","270.00","2.55M","0.00%"
"01/11/2023","270.00","270.00","270.00","270.00","308.99K","0.00%"
"01/10/2023","270.00","262.00","270.00","270.00","1.19M","3.05%"
"01/09/2023","262.00","262.00","262.00","262.00","268.56K","0.00%"
"01/06/2023","262.00","261.00","262.00","262.00","794.65K","0.38%"
"01/05/2023","261.00","261.00","261.00","261.00","40.89K","0.00%"
"01/04/2023","261.00","261.00","261.00","261.00","304.87K","0.00%"
"01/03/2023","261.00","261.00","261.00","261.00","761.87K","0.00%"
"12/30/2022","261.00","261.00","261.00","261.00","144.13K","0.00%"
"12/29/2022","261.00","261.00","261.00","261.00","115.48K","0.00%"
"12/28/2022","261.00","261.00","261.00","261.00","610.54K","0.00%"
"12/23/2022","261.00","261.00","261.00","261.00","6.23K","0.00%"
"12/22/2022","261.00","262.30","261.00","260.00","1.71M","-0.50%"
"12/21/2022","262.30","262.30","262.30","262.30","227.29K","0.00%"
"12/20/2022","262.30","262.30","262.30","262.30","111.31K","0.00%"
"12/19/2022","262.30","262.30","262.30","262.30","54.30K","0.00%"
"12/16/2022","262.30","262.30","262.30","262.30","40.61K","0.00%"
"12/15/2022","262.30","262.30","262.30","262.30","15.69K","0.00%"
"12/14/2022","262.30","262.30","262.30","262.30","8.45K","0.00%"
"12/13/2022","262.30","262.30","262.30","262.30","5.29K","0.00%"
"12/12/2022","262.30","262.30","262.30","262.30","67.10K","0.00%"
"12/09/2022","262.30","262.30","262.30","262.30","4.15K","0.00%"
"12/08/2022","262.30","262.30","262.30","262.30","34.57K","0.00%"
"12/07/2022","262.30","262.30","262.30","262.30","14.94K","0.00%"
"12/06/2022","262.30","262.30","262.30","262.30","359.79K","0.00%"
"12/05/2022","262.30","262.30","262.30","262.30","17.63K","0.00%"
"12/02/2022","262.30","262.30","262.30","262.30","9.63K","0.00%"
"12/01/2022","262.30","262.30","262.30","262.30","16.35K","0.00%"
"11/30/2022","262.30","262.30","262.30","262.30","30.55K","0.00%"
"11/29/2022","262.30","262.30","262.30","262.30","119.38K","0.00%"
"11/28/2022","262.30","262.30","262.30","262.30","12.28K","0.00%"
"11/25/2022","262.30","262.30","262.30","262.30","45.48K","0.00%"
"11/24/2022","262.30","262.30","262.30","262.30","389.53K","0.00%"
"11/23/2022","262.30","238.50","262.30","254.50","820.19K","9.98%"
"11/22/2022","238.50","238.50","238.50","238.50","402.72K","0.00%"
"11/21/2022","238.50","238.50","238.50","238.50","444.44K","0.00%"
"11/18/2022","238.50","238.50","238.50","238.50","7.48K","0.00%"
"11/17/2022","238.50","238.50","238.50","238.50","38.24K","0.00%"
"11/16/2022","238.50","238.50","238.50","238.50","110.74K","0.00%"
"11/15/2022","238.50","238.50","238.50","238.50","8.05K","0.00%"
"11/14/2022","238.50","238.50","238.50","238.50","110.97K","0.00%"
"11/11/2022","238.50","238.50","238.50","238.50","8.18K","0.00%"
"11/10/2022","238.50","221.30","238.50","238.50","557.72K","7.77%"
"11/09/2022","221.30","220.00","240.00","221.30","1.39M","0.59%"
"11/08/2022","220.00","240.00","220.00","220.00","294.41K","-8.33%"
"11/07/2022","240.00","240.00","240.00","240.00","9.51K","0.00%"
"11/04/2022","240.00","240.00","240.00","240.00","22.94K","0.00%"
"11/03/2022","240.00","240.00","240.00","240.00","35.34K","0.00%"
"11/02/2022","240.00","220.50","240.00","240.00","529.40K","8.84%"
"11/01/2022","220.50","220.50","220.50","220.50","75.06K","0.00%"
"10/31/2022","220.50","220.50","220.50","220.50","172.54K","0.00%"
"10/28/2022","220.50","245.00","220.50","220.50","2.47M","-10.00%"
"10/27/2022","245.00","245.00","245.00","245.00","6.86K","0.00%"
"10/26/2022","245.00","245.00","245.00","245.00","2.81K","0.00%"
"10/25/2022","245.00","245.00","245.00","245.00","8.36K","0.00%"
"10/24/2022","245.00","245.00","245.00","245.00","9.68K","0.00%"
"10/21/2022","245.00","245.00","245.00","245.00","4.19K","0.00%"
"10/20/2022","245.00","245.00","245.00","245.00","3.96K","0.00%"
"10/19/2022","245.00","245.00","245.00","245.00","117.18K","0.00%"
"10/18/2022","245.00","245.00","245.00","245.00","10.16K","0.00%"
"10/17/2022","245.00","245.00","245.00","245.00","16.34K","0.00%"
"10/14/2022","245.00","245.00","245.00","245.00","5.19K","0.00%"
"10/13/2022","245.00","245.00","245.00","245.00","21.40K","0.00%"
"10/12/2022","245.00","245.00","245.00","245.00","8.43M","0.00%"
"10/11/2022","245.00","245.00","245.00","245.00","21.09K","0.00%"
"10/07/2022","245.00","245.00","245.00","245.00","14.00K","0.00%"
"10/06/2022","245.00","245.00","245.00","245.00","170.68K","0.00%"
"10/05/2022","245.00","245.00","245.00","245.00","82.64K","0.00%"
"10/04/2022","245.00","245.00","245.00","245.00","13.08K","0.00%"
"09/30/2022","245.00","245.00","245.00","245.00","19.30K","0.00%"
"09/29/2022","245.00","245.00","245.00","245.00","23.73K","0.00%"
"09/28/2022","245.00","245.00","245.00","245.00","38.78K","0.00%"
"09/27/2022","245.00","245.00","245.00","245.00","57.13K","0.00%"
